Date,Open,High,Low,Close,Volume
20231229,2.88,2.925,2.785,2.84,300819
20240102,2.91,3.04,2.785,2.89,450305
20240103,2.86,2.87,2.65,2.67,339522
20240104,2.68,2.74,2.65,2.68,248236
20240105,2.65,2.67,2.55,2.61,208173
20240108,2.68,2.81,2.61,2.78,188309
20240109,2.75,2.9,2.72,2.8,259097
20240110,2.8,2.87,2.72,2.76,188378
20240111,2.74,2.74,2.59,2.7,274395
20240112,2.75,2.82,2.65,2.65,146409
20240116,2.64,2.64,2.55,2.57,169259
20240117,2.55,2.58,2.48,2.58,211275
20240118,2.62,2.64,2.525,2.59,145905
20240119,2.62,2.67,2.5499,2.67,234350
20240122,2.72,2.84,2.689,2.82,359184
20240123,2.9,2.97,2.83,2.91,199704
20240124,2.88,2.98,2.855,2.86,232460
20240125,2.92,3.05,2.86,3.0,468819
20240126,3.03,3.07,2.8,2.91,308141
20240129,2.96,3.32,2.89,3.32,581655
20240130,3.29,3.3007,3.1501,3.19,398127
20240131,3.22,3.58,3.185,3.32,621789
20240201,3.4,3.43,3.205,3.41,329521
20240202,3.38,3.4,3.2,3.3,259637
20240205,3.25,3.52,3.215,3.35,443303
20240206,3.35,3.73,3.35,3.65,816318
20240207,3.66,3.72,2.9,2.91,1568129
20240208,2.94,3.25,2.835,3.135,721860
20240209,3.39,3.65,3.23,3.6099,676947
